5.23,78.44,104.33,5,5,totallyDone,1,8:30 am,4
4.88,73.16,97.3,5,5,totallyDone,1,8:30 am,1
8.49,127.28,169.28,5,5,totallyDone,1,6:30 am,3
5.06,75.89,100.93,5,5,totallyDone,0,3:30 pm,1
NaN,0,0,none,none,cancelled,1,6:30 am,6
8.02,120.31,160.02,3,5,totallyDone,0,6:30 am,8
7.87,118.03,156.98,5,5,totallyDone,0,6:30 am,1
4.99,74.92,99.64,5,5,totallyDone,2,4:00 pm,5
5.23,78.44,104.33,2,5,totallyDone,1,4:00 pm,1
4.54,68.16,90.66,5,5,totallyDone,1,5:00 pm,4
4.48,67.22,89.4,5,5,totallyDone,1,5:00 pm,6
3.48,60,79.8,5,5,totallyDone,0,10:30 am,1
0.01,60,79.8,5,5,totallyDone,0,10:35 pm,1
8.04,120.56,160.34,5,5,totallyDone,0,6:45 am,1
8,120.07,159.69,3,5,totallyDone,0,6:45 am,3
3.12,60,79.8,5,5,totallyDone,0,11:05 am,6
4.66,69.88,92.94,5,5,totallyDone,1,7:00 am,3
8.04,120.62,160.43,5,5,totallyDone,0,6:30 am,3
6.06,90.96,120.97,5,5,totallyDone,1,4:30 pm,1
5.72,85.81,114.13,5,4,totallyDone,1,4:30 pm,2
6.03,90.48,120.34,5,5,totallyDone,2,4:30 pm,7
NaN,0,0,none,none,cancelled,0,8:00 am,0
NaN,0,0,none,none,cancelled,0,6:30 am,0
7.29,109.34,145.43,5,5,totallyDone,0,7:00 am,6
7.38,110.76,147.31,5,5,totallyDone,0,7:00 am,4
3.42,60,79.8,5,5,totallyDone,0,5:15 pm,3
5.07,76.01,101.1,5,5,totallyDone,7,5:15 pm,10
5.1,76.55,101.81,5,5,totallyDone,7,5:15 pm,6
4.4,66,67.83,5,5,totallyDone,0,8:00 am,1
8.18,122.75,163.26,5,5,totallyDone,4,8:00 am,11
5.36,80.33,106.83,5,5,totallyDone,3,4:00 pm,8
3.77,60,79.8,5,5,totallyDone,0,10:30 am,1
3.48,60,79.8,5,5,totallyDone,1,10:30 am,2
4.87,73,97.09,5,5,totallyDone,0,5:00 pm,3
3.73,60,79.8,4,5,totallyDone,0,5:00 pm,2
4.75,71.26,94.78,5,5,totallyDone,0,6:00 pm,4
5.11,76.58,101.86,5,5,totallyDone,0,2:00 pm,3
3.97,60,79.8,5,5,totallyDone,5,2:30 pm,16
5.82,87.26,116.06,5,5,totallyDone,2,3:10 pm,4
3.49,60,79.8,5,5,totallyDone,2,7:25 pm,10
5.55,83.3,110.79,5,5,totallyDone,0,3:00 pm,1
4.12,61.83,82.24,4,5,totallyDone,3,12:30 pm,16
5.06,75.91,100.96,5,5,totallyDone,3,3:30 pm,10
0.34,60,79.8,5,5,totallyDone,1,1:30 pm,3
NaN,0,0,none,none,cancelled,0,9:20 am,5
3.35,60,79.8,5,5,totallyDone,2,10:50 am,7
8.67,130.11,173.05,5,5,totallyDone,1,6:30 am,3
NaN,0,0,none,none,cancelled,0,6:30 am,0
NaN,0,0,none,none,cancelled,0,6:30 am,0
NaN,0,0,none,none,cancelled,0,6:30 am,0
NaN,0,0,none,none,cancelled_Admin,3,6:30 am,8
6.52,97.74,130,5,5,totallyDone,0,4:00 pm,1
1.89,60,79.8,5,5,totallyDone,0,8:20 pm,1
1.97,60,79.8,5,5,totallyDone,0,8:20 pm,1
6.48,97.23,129.31,5,5,totallyDone,0,8:25 pm,1
1.84,60,79.8,5,5,totallyDone,0,8:25 pm,1
2.02,60,79.8,5,5,totallyDone,0,8:25 pm,1
2,60,79.8,5,5,totallyDone,0,8:25 pm,1
1.82,60,79.8,5,5,totallyDone,0,8:30 pm,1
1.86,60,79.8,5,5,totallyDone,0,8:30 pm,1
1.85,60,79.8,5,5,totallyDone,0,8:35 pm,1
1.76,60,79.8,5,5,totallyDone,0,8:35 pm,1
2.77,60,79.8,5,5,totallyDone,0,8:35 pm,1
1.77,60,79.8,5,5,totallyDone,0,8:40 pm,1
1.71,60,79.8,5,5,totallyDone,0,8:40 pm,1
1.82,60,79.8,5,5,totallyDone,0,8:45 pm,1
2.53,60,79.8,5,5,totallyDone,0,10:30 am,1
4.6,69.05,91.83,5,5,totallyDone,0,4:00 pm,4
9.46,141.83,188.64,5,5,totallyDone,0,7:00 am,3
3.87,60,79.8,5,5,totallyDone,0,11:35 am,2
4.25,63.72,84.75,5,5,totallyDone,1,1:00 pm,5
6.73,100.95,134.27,5,5,totallyDone,0,8:00 am,5
2.7,60,79.8,5,5,totallyDone,0,11:00 am,4
3.58,60,79.8,5,5,totallyDone,2,4:00 pm,6
3.63,60,79.8,5,4,totallyDone,2,4:00 pm,3
3.53,60,79.8,5,5,totallyDone,2,4:00 pm,3
3.38,60,79.8,5,5,totallyDone,0,10:30 am,1
4.27,64.03,85.16,3,2,totallyDone,2,1:00 pm,6
NaN,0,0,none,none,cancelled_Admin,3,8:00 am,9
NaN,0,0,none,none,cancelled_Admin,2,9:00 am,6
8.72,130.74,173.89,5,5,totallyDone,0,8:00 am,2
4.33,65,86.45,4,5,totallyDone,0,8:30 pm,1
